,Feature1,Feature2,accuracy
0,DE Ratio,DE Ratio,55.93000000000001
1,DE Ratio,Trailing P/E,55.36
2,DE Ratio,Price/Sales,55.03000000000001
3,DE Ratio,Price/Book,56.54
4,DE Ratio,Profit Margin,54.96
5,DE Ratio,Operating Margin,55.489999999999995
6,DE Ratio,Return on Assets,56.23
7,DE Ratio,Return on Equity,55.4
8,DE Ratio,Revenue Per Share,56.19
9,DE Ratio,Market Cap,58.15
10,DE Ratio,Enterprise Value,58.029999999999994
11,DE Ratio,Forward P/E,55.839999999999996
12,DE Ratio,PEG Ratio,55.029999999999994
13,DE Ratio,Enterprise Value/Revenue,55.8
14,DE Ratio,Enterprise Value/EBITDA,55.28000000000001
15,DE Ratio,Revenue,55.92
16,DE Ratio,Gross Profit,56.35
17,DE Ratio,EBITDA,55.260000000000005
18,DE Ratio,Net Income Avl to Common ,56.45
19,DE Ratio,Diluted EPS,56.970000000000006
20,DE Ratio,Earnings Growth,56.36
21,DE Ratio,Revenue Growth,55.11
22,DE Ratio,Total Cash,55.39000000000001
23,DE Ratio,Total Cash Per Share,54.8
24,DE Ratio,Total Debt,56.04
25,DE Ratio,Current Ratio,55.499999999999986
26,DE Ratio,Book Value Per Share,56.0
27,DE Ratio,Cash Flow,54.96
28,DE Ratio,Beta,55.02
29,DE Ratio,Held by Insiders,55.17999999999999
30,DE Ratio,Held by Institutions,56.71
31,DE Ratio,Shares Short (as of,55.720000000000006
32,DE Ratio,Short Ratio,54.15000000000001
33,DE Ratio,Short % of Float,55.489999999999995
34,DE Ratio,Shares Short (prior ,55.589999999999996
35,Trailing P/E,Trailing P/E,51.46999999999999
36,Trailing P/E,Price/Sales,51.260000000000005
37,Trailing P/E,Price/Book,53.019999999999996
38,Trailing P/E,Profit Margin,53.58
39,Trailing P/E,Operating Margin,52.92
40,Trailing P/E,Return on Assets,53.31
41,Trailing P/E,Return on Equity,52.74000000000001
42,Trailing P/E,Revenue Per Share,52.69
43,Trailing P/E,Market Cap,52.459999999999994
44,Trailing P/E,Enterprise Value,53.3
45,Trailing P/E,Forward P/E,52.470000000000006
